7d	reserved for non-commercial use	non-commercial
00 20 21	Creative Technology Pte. Ltd. c/o	Creative Technology Pte. Ltd. c/o
00 20 22	Seiyddo/Minami	Seiyddo/Minami
00 20 23	Goldstar Co. Ltd.	Goldstar Co. Ltd.
00 20 24	Midisoft s.a.s. di M.Cima & C	Midisoft s.a.s. di M.Cima & C
00 20 25	Samick Musical Inst. Co. Ltd.	Samick Musical Inst. Co. Ltd.
00 20 26	Penny and Giles	Penny and Giles
00 20 27	Acorn Computer	Acorn Computer
00 20 28	LSC Electronics Pty. Ltd.	LSC Electronics Pty. Ltd.
00 20 29	Novation EMS	Novation EMS
00 20 2a	Samkyung Mechatronics	Samkyung Mechatronics
00 20 2b	Medeli Electronics Co.	Medeli Electronics Co.
00 20 2c	Charlie Lab SRL	Charlie Lab SRL
00 20 2d	Blue Chip Music Technology	Blue Chip Music Technology
00 20 2e	BEE OH Corp	BEE OH Corp
00 20 2f	LG Semicon America	LG Semicon America
00 20 30	TESI	TESI
00 20 31	EMAGIC	EMAGIC
00 20 32	Behringer GmbH	Behringer GmbH
00 20 33	Access Music Electronics	Access Music Electronics
00 20 34	Synoptic	Synoptic
00 20 35	Hanmesoft	Hanmesoft
00 20 36	Terratec Electronic GmbH	Terratec Electronic GmbH
00 20 37	Proel SpA	Proel SpA
00 20 38	IBK MIDI	IBK MIDI
00 20 39	IRCAM	IRCAM
00 20 3a	Propellerhead Software	Propellerhead Software
00 20 3b	Red Sound Systems Ltd	Red Sound Systems Ltd
00 20 3c	Elektron ESI AB	Elektron ESI AB
00 20 3d	Sintefex Audio	Sintefex Audio
00 20 3e	MAM (Music and More)	MAM (Music and More)
00 20 3f	Amsaro GmbH	Amsaro GmbH
00 20 40	CDS Advanced Technology BV	CDS Advanced Technology BV
00 20 41	Touched By Sound GmbH	Touched By Sound GmbH
00 20 42	DSP Arts	DSP Arts
00 20 43	Phil Rees Music Tech	Phil Rees Music Tech
00 20 44	Stamer Muiskanlagen GmbH	Stamer Muiskanlagen GmbH
00 20 45	Musical Muntaner S.A. dba Soundart	Musical Muntaner S.A. dba Soundart
00 20 46	C-Mexx Software	C-Mexx Software
00 20 47	Klavis Technologies	Klavis Technologies
00 20 48	Noteheads AB	Noteheads AB
00 20 49	Algorithmix	Algorithmix
00 20 4a	Skrydstrup R&D	Skrydstrup R&D
00 20 4b	Professional Audio Company	Professional Audio Company
00 20 4c	NewWave Labs (MadWaves)	NewWave Labs (MadWaves)
00 20 4d	Vermona	Vermona
00 20 4e	Nokia	Nokia
00 20 4f	Wave Idea	Wave Idea
00 20 50	Hartmann GmbH	Hartmann GmbH
00 20 51	Lion's Tracs	Lion's Tracs
00 20 52	Analogue Systems	Analogue Systems
00 20 53	Focal-JMlab	Focal-JMlab
00 20 54	Ringway Electronics (Chang-Zhou) Co Ltd	Ringway Electronics (Chang-Zhou) Co Ltd
00 20 55	Faith Technologies (Digiplug)	Faith Technologies (Digiplug)
00 20 56	Showworks	Showworks
00 20 57	Manikin Electronic	Manikin Electronic
00 20 58	1 Come Tech	1 Come Tech
00 20 59	Phonic Corp	Phonic Corp
00 20 5a	Dolby Australia (Lake)	Dolby Australia (Lake)
00 20 5b	Silansys Technologies	Silansys Technologies
00 20 5c	Winbond Electronics	Winbond Electronics
00 20 5d	Cinetix Medien und Interface GmbH	Cinetix Medien und Interface GmbH
00 20 5e	A&G Soluzioni Digitali	A&G Soluzioni Digitali
00 20 5f	Sequentix Music Systems	Sequentix Music Systems
00 20 60	Oram Pro Audio	Oram Pro Audio
00 20 61	Be4 Ltd	Be4 Ltd
00 20 62	Infection Music	Infection Music
00 20 63	Central Music Co. (CME)	Central Music Co. (CME)
00 20 64	genoQs Machines GmbH	genoQs Machines GmbH
00 20 65	Medialon	Medialon
00 20 66	Waves Audio Ltd	Waves Audio Ltd
00 20 67	Jerash Labs	Jerash Labs
00 20 68	Da Fact	Da Fact
00 20 69	Elby Designs	Elby Designs
00 20 6a	Spectral Audio	Spectral Audio
00 20 6b	Arturia	Arturia
00 20 6c	Vixid	Vixid
00 20 6d	C-Thru Music	C-Thru Music
00 20 6e	Ya Horng Electronic Co LTD	Ya Horng Electronic Co LTD
00 20 6f	SM Pro Audio	SM Pro Audio
00 20 70	OTO MACINES	OTO MACINES
00 20 71	ELZAB S.A., G LAB	ELZAB S.A., G LAB
00 20 72	Blackstar Amplification Ltd	Blackstar Amplification Ltd
00 20 73	M3i Technologies GmbH	M3i Technologies GmbH
00 20 74	Xiring	Xiring
00 20 75	Prostage SL	Prostage SL
00 20 76	Teenage Engineering	Teenage Engineering
00 20 77	Tobias Erichsen	Tobias Erichsen
00 20 78	Nixer Ltd	Nixer Ltd
00 20 79	Hanpin Electron Co Ltd	Hanpin Electron Co Ltd
00 20 7a	"MIDI-hardware" R.Sowa	"MIDI-hardware" R.Sowa
00 20 7b	Beyond Music Industrial Ltd	Beyond Music Industrial Ltd
00 20 7c	Kiss Box B.V.	Kiss Box B.V.
00 20 7d	Misa Digital Technologies Ltd	Misa Digital Technologies Ltd
00 20 7e	AI Musics Technology Inc	AI Musics Technology Inc
20	Passac	Passac
21	SIEL	SIEL
22	Synthaxe (UK)	Synthaxe (UK)
23	Stepp	Stepp
24	Hohner	Hohner
25	Twister	Twister
26	Solton	Solton
27	Jellinghaus MS	Jellinghaus MS
28	Southworth Music Systems	Southworth Music Systems
29	PPG (Germany)	PPG (Germany)
2a	JEN	JEN
2b	Solid State Logic Organ Systems	Solid State Logic Organ Systems
2c	Audio Veritrieb-P. Struven	Audio Veritrieb-P. Struven
2d	Neve	Neve
2e	Soundtracs Ltd.	Soundtracs Ltd.
2f	Elka	Elka
30	Dynacord	Dynacord
31	Intercontinental Electronics SpA	Intercontinental Electronics SpA
32	Drawmer	Drawmer
33	Clavia Digital Instruments	Clavia Digital Instruments
34	Audio Architecture	Audio Architecture
35	GeneralMusic Corp. c/o	GeneralMusic Corp. c/o
36	Cheetah Marketing	Cheetah Marketing
37	C.T.M.	C.T.M.
38	Simmons UK	Simmons UK
39	Soundcraft Electronics	Soundcraft Electronics
3a	Steinberg GMBH c/o	Steinberg GMBH c/o
3b	Wersi Gmbh	Wersi Gmbh
3c	AVAB Niethammer AB	AVAB Niethammer AB
3d	Digigram	Digigram
3e	Waldorf Electronics GmbH	Waldorf Electronics GmbH
3f	Quasimidi	Quasimidi
00 40 00	Crimson Technology Inc.	Crimson Technology Inc.
00 40 01	Softbank Mobile Corp	Softbank Mobile Corp
00 40 02	仮ナンバーとして使用中	仮ナンバーとして使用中
00 40 03	D&M Holdings Inc.	D&M Holdings Inc.
40	Kawai Musical Instruments MFG. CO. Ltd	Kawai Musical Instruments MFG. CO. Ltd
41	Roland Corporation	Roland Corporation
42	Korg Inc.	Korg Inc.
43	Yamaha Corporation	Yamaha Corporation
44	Casio Computer Co. Ltd	Casio Computer Co. Ltd
46	Kamiya Studio Co. Ltd	Kamiya Studio Co. Ltd
47	Akai Electric Co. Ltd.	Akai Electric Co. Ltd.
48	Victor Company of Japan, Ltd.	Victor Company of Japan, Ltd.
49	（明創社）	（明創社）
4a	（星野楽器）	（星野楽器）
4b	Fujitsu Limited	Fujitsu Limited
4c	Sony Corporation	Sony Corporation
4d	（日伸音波研究所）	（日伸音波研究所）
4e	Teac Corporation	Teac Corporation
50	Matsushita Electric Industrial Co. , Ltd	Matsushita Electric Industrial Co. , Ltd
51	Fostex Corporation	Fostex Corporation
52	Zoom Corporation	Zoom Corporation
53	（緑電子工業株式会社）	（緑電子工業株式会社）
54	Matsushita Communication Industrial Co., Ltd.	Matsushita Communication Industrial Co., Ltd.
55	Suzuki Musical Instruments MFG. Co., Ltd.	Suzuki Musical Instruments MFG. Co., Ltd.
56	Fuji Sound Corporation Ltd.	Fuji Sound Corporation Ltd.
57	Acoustic Technical Laboratory, Inc.	Acoustic Technical Laboratory, Inc.
59	Faith, Inc.	Faith, Inc.
5a	Internet Corporation	Internet Corporation
5c	Seekers Co. Ltd.	Seekers Co. Ltd.
5f	SD Card Association	SD Card Association
